anais,origine,n
1991,Europe,46
1991,Maghreb,69
1991,Reste de l'Afrique,25
1991,Reste du monde,19
1991,Turquie,16
1992,Europe,95
1992,Maghreb,181
1992,Reste de l'Afrique,57
1992,Reste du monde,39
1992,Turquie,37
1993,Europe,150
1993,Maghreb,241
1993,Reste de l'Afrique,74
1993,Reste du monde,66
1993,Turquie,49
1994,Europe,232
1994,Maghreb,384
1994,Reste de l'Afrique,118
1994,Reste du monde,77
1994,Turquie,84
1995,Europe,350
1995,Maghreb,455
1995,Reste de l'Afrique,142
1995,Reste du monde,130
1995,Turquie,95
1996,Europe,415
1996,Maghreb,496
1996,Reste de l'Afrique,246
1996,Reste du monde,137
1996,Turquie,155
1997,Europe,523
1997,Maghreb,678
1997,Reste de l'Afrique,240
1997,Reste du monde,173
1997,Turquie,169
1998,Europe,661
1998,Maghreb,862
1998,Reste de l'Afrique,329
1998,Reste du monde,207
1998,Turquie,189
1999,Europe,702
1999,Maghreb,1049
1999,Reste de l'Afrique,425
1999,Reste du monde,304
1999,Turquie,316
2000,Europe,861
2000,Maghreb,1223
2000,Reste de l'Afrique,462
2000,Reste du monde,464
2000,Turquie,300
2001,Europe,917
2001,Maghreb,1326
2001,Reste de l'Afrique,536
2001,Reste du monde,499
2001,Turquie,318
2002,Europe,931
2002,Maghreb,1560
2002,Reste de l'Afrique,601
2002,Reste du monde,537
2002,Turquie,416
2003,Europe,944
2003,Maghreb,1853
2003,Reste de l'Afrique,616
2003,Reste du monde,657
2003,Turquie,420
2004,Europe,999
2004,Maghreb,1917
2004,Reste de l'Afrique,676
2004,Reste du monde,708
2004,Turquie,438
2005,Europe,952
2005,Maghreb,2012
2005,Reste de l'Afrique,754
2005,Reste du monde,643
2005,Turquie,509
2006,Europe,895
2006,Maghreb,2075
2006,Reste de l'Afrique,759
2006,Reste du monde,619
2006,Turquie,413
2007,Europe,786
2007,Maghreb,2011
2007,Reste de l'Afrique,717
2007,Reste du monde,662
2007,Turquie,453
2008,Europe,797
2008,Maghreb,1784
2008,Reste de l'Afrique,740
2008,Reste du monde,621
2008,Turquie,441
2009,Europe,721
2009,Maghreb,1799
2009,Reste de l'Afrique,639
2009,Reste du monde,524
2009,Turquie,331
2010,Europe,603
2010,Maghreb,1582
2010,Reste de l'Afrique,559
2010,Reste du monde,534
2010,Turquie,323
2011,Europe,489
2011,Maghreb,1347
2011,Reste de l'Afrique,533
2011,Reste du monde,468
2011,Turquie,260
2012,Europe,419
2012,Maghreb,1173
2012,Reste de l'Afrique,460
2012,Reste du monde,435
2012,Turquie,238
2013,Europe,324
2013,Maghreb,986
2013,Reste de l'Afrique,383
2013,Reste du monde,364
2013,Turquie,196
2014,Europe,261
2014,Maghreb,720
2014,Reste de l'Afrique,300
2014,Reste du monde,280
2014,Turquie,139
2015,Europe,174
2015,Maghreb,546
2015,Reste de l'Afrique,250
2015,Reste du monde,176
2015,Turquie,111
2016,Europe,100
2016,Maghreb,313
2016,Reste de l'Afrique,112
2016,Reste du monde,96
2016,Turquie,69
2017,Europe,29
2017,Maghreb,114
2017,Reste de l'Afrique,54
2017,Reste du monde,34
2017,Turquie,23
